gene_id,gene_symbol,gene_name,notfound,gene_label
ENSG00000149922,TBX6,T-box transcription factor 6,False,TBX6
ENSG00000149923,PPP4C,protein phosphatase 4 catalytic subunit,False,PPP4C
ENSG00000149929,HIRIP3,HIRA interacting protein 3,False,HIRIP3
ENSG00000149930,TAOK2,TAO kinase 2,False,TAOK2
ENSG00000149932,TMEM219,transmembrane protein 219,False,TMEM219
ENSG00000149948,HMGA2,high mobility group AT-hook 2,False,HMGA2
ENSG00000149968,MMP3,matrix metallopeptidase 3,False,MMP3
ENSG00000150051,MKX,mohawk homeobox,False,MKX
ENSG00000150093,ITGB1,integrin subunit beta 1,False,ITGB1
ENSG00000150281,CTF1,cardiotrophin 1,False,CTF1
ENSG00000150316,CWC15,CWC15 spliceosome associated protein,False,CWC15
ENSG00000150347,ARID5B,AT-rich interaction domain 5B,False,ARID5B
ENSG00000150401,DCUN1D2,defective in cullin neddylation 1 domain containing 2,False,DCUN1D2
ENSG00000150403,SLC9D1,solute carrier family 9 member D1,False,SLC9D1
ENSG00000150433,TMEM218,transmembrane protein 218,False,TMEM218
ENSG00000150455,TIRAP,TIR domain containing adaptor protein,False,TIRAP
ENSG00000150456,EEF1AKMT1,EEF1A lysine methyltransferase 1,False,EEF1AKMT1
ENSG00000150457,LATS2,large tumor suppressor kinase 2,False,LATS2
ENSG00000150459,SAP18,Sin3A associated protein 18,False,SAP18
ENSG00000150477,KIAA1328,KIAA1328,False,KIAA1328
ENSG00000150510,FAM124A,family with sequence similarity 124 member A,False,FAM124A
ENSG00000150527,MIA2,MIA SH3 domain ER export factor 2,False,MIA2
